"","year","month","day","n"
"606",2015,5,12,61
"607",2015,5,13,72
"608",2015,5,14,52
"609",2015,5,15,220
"610",2015,5,16,394
"611",2015,5,17,352
"612",2015,5,18,283
"613",2015,5,19,35
"614",2015,5,20,33
"615",2015,5,21,188
"616",2015,5,22,186
"617",2015,5,23,449
"618",2015,5,24,319
"619",2015,5,25,401
"620",2015,5,26,106
"621",2015,5,27,134
"622",2015,5,28,299
"623",2015,5,29,151
"624",2015,5,30,24
"625",2015,5,31,26
"626",2015,6,1,86
"627",2015,6,2,163
"628",2015,6,3,205
"629",2015,6,4,212
"630",2015,6,5,118
"631",2015,6,6,436
"632",2015,6,7,132
"633",2015,6,8,181
"634",2015,6,9,264
"635",2015,6,10,252
"636",2015,6,11,123
"637",2015,6,12,80
"638",2015,6,13,462
"639",2015,6,14,425
"640",2015,6,15,66
"641",2015,6,16,249
"642",2015,6,17,118
"643",2015,6,18,168
"644",2015,6,19,240
"645",2015,6,20,486
"646",2015,6,21,559
"647",2015,6,22,165
"648",2015,6,23,299
"649",2015,6,24,238
"650",2015,6,25,179
"651",2015,6,26,132
"652",2015,6,27,626
"653",2015,6,28,516
"654",2015,6,29,296
"655",2015,6,30,276
"656",2015,7,1,231
"657",2015,7,2,303
"658",2015,7,3,601
"659",2015,7,4,383
"660",2015,7,5,425
"661",2015,7,6,266
"662",2015,7,7,194
"663",2015,7,8,252
"664",2015,7,9,403
"665",2015,7,10,507
"666",2015,7,11,596
"667",2015,7,12,489
"668",2015,7,13,200
"669",2015,7,14,275
"670",2015,7,15,231
"671",2015,7,16,120
"672",2015,7,17,266
"673",2015,7,18,560
"674",2015,7,19,595
"675",2015,7,20,311
"676",2015,7,21,273
"677",2015,7,22,302
"678",2015,7,23,241
"679",2015,7,24,358
"680",2015,7,25,518
"681",2015,7,26,420
"682",2015,7,27,283
"683",2015,7,28,279
"684",2015,7,29,307
"685",2015,7,30,420
"686",2015,7,31,407
"687",2015,8,1,631
"688",2015,8,2,386
"689",2015,8,3,294
"690",2015,8,4,331
"691",2015,8,5,287
"692",2015,8,6,372
"693",2015,8,7,356
"694",2015,8,8,442
"695",2015,8,9,349
"696",2015,8,10,247
"697",2015,8,11,247
"698",2015,8,12,293
"699",2015,8,13,227
"700",2015,8,14,301
"701",2015,8,15,433
"702",2015,8,16,360
"703",2015,8,17,248
"704",2015,8,18,154
"705",2015,8,19,170
"706",2015,8,20,272
"707",2015,8,21,213
"708",2015,8,22,439
"709",2015,8,23,369
"710",2015,8,24,240
"711",2015,8,25,133
"712",2015,8,26,105
"713",2015,8,27,122
"714",2015,8,28,262
"715",2015,8,29,122
"716",2015,8,30,7
"717",2015,8,31,201
"718",2015,9,1,153
"719",2015,9,2,148
"720",2015,9,3,152
"721",2015,9,4,213
"722",2015,9,5,433
"723",2015,9,6,474
"724",2015,9,7,393
"725",2015,9,8,76
"726",2015,9,9,157
"727",2015,9,10,95
"728",2015,9,11,80
"729",2015,9,12,216
"730",2015,9,13,312
"731",2015,9,14,152
"732",2015,9,15,215
"733",2015,9,16,207
"734",2015,9,17,179
"735",2015,9,18,141
"736",2015,9,19,425
"737",2015,9,20,329
"738",2015,9,21,219
"739",2015,9,22,122
"740",2015,9,23,175
"741",2015,9,24,134
"742",2015,9,25,224
"743",2015,9,26,473
"744",2015,9,27,305
"745",2015,9,28,154
"746",2015,9,29,55
"747",2015,9,30,90
"748",2015,10,1,97
"749",2015,10,2,84
"750",2015,10,3,71
"751",2015,10,4,107
"752",2015,10,5,87
"753",2015,10,6,131
"754",2015,10,7,116
"755",2015,10,8,113
"756",2015,10,9,155
"757",2015,10,10,304
"758",2015,10,11,312
"759",2015,10,12,207
"760",2015,10,13,79
"761",2015,10,14,115
"762",2015,10,15,83
"763",2015,10,16,123
"764",2015,10,17,144
"765",2015,10,18,182
"766",2015,10,19,96
"767",2015,10,20,85
"768",2015,10,21,105
"769",2015,10,22,89
"770",2015,10,23,66
"771",2015,10,24,137
"772",2015,10,25,246
"773",2015,10,26,102
"774",2015,10,27,15
"775",2015,10,28,12
"776",2015,10,29,19
"777",2015,10,30,104
"778",2015,10,31,9
"779",2015,11,1,166
"780",2015,11,2,156
"781",2015,11,3,79
"782",2015,11,4,90
"783",2015,11,5,63
"784",2015,11,6,78
"785",2015,11,7,131
"786",2015,11,8,132
"787",2015,11,9,75
"788",2015,11,10,39
"789",2015,11,11,42
"790",2015,11,12,11
"791",2015,11,13,24
"792",2015,11,14,86
"793",2015,11,15,171
"794",2015,11,16,32
"795",2015,11,17,3
"796",2015,11,18,25
"797",2015,11,19,10
"798",2015,11,20,25
"799",2015,11,21,1
"800",2015,11,22,7
"801",2015,11,23,14
"802",2015,11,24,20
"803",2015,11,25,52
"804",2015,11,26,27
"805",2015,11,28,36
"806",2015,11,29,32
"807",2015,11,30,5
"808",2015,12,1,17
"809",2015,12,2,6
"810",2015,12,3,6
"811",2015,12,4,30
"812",2015,12,5,29
"813",2015,12,6,37
"814",2015,12,7,6
"815",2015,12,8,14
"816",2015,12,9,28
"817",2015,12,10,20
"818",2015,12,11,37
"819",2015,12,12,38
"820",2015,12,13,22
"821",2015,12,14,10
"822",2015,12,15,16
"823",2015,12,16,22
"824",2015,12,17,13
"825",2015,12,18,8
"826",2015,12,19,9
"827",2015,12,20,33
"828",2015,12,21,16
"829",2015,12,22,10
"830",2015,12,23,11
"831",2015,12,24,13
"832",2015,12,25,31
"833",2015,12,27,9
"834",2015,12,28,1
"835",2015,12,29,2
"836",2015,12,30,4
"837",2015,12,31,3
"838",2016,1,1,7
"839",2016,1,2,11
"840",2016,1,3,14
"841",2016,1,4,3
"842",2016,1,5,3
"843",2016,1,6,6
"844",2016,1,7,8
"845",2016,1,8,4
"846",2016,1,9,4
"847",2016,1,10,2
"848",2016,1,11,1
"849",2016,1,14,7
"850",2016,1,15,6
"851",2016,1,16,21
"852",2016,1,17,1
"853",2016,1,18,1
"854",2016,1,19,2
"855",2016,1,20,3
"856",2016,1,21,3
"857",2016,1,22,3
"858",2016,1,23,1
"859",2016,1,24,13
"860",2016,1,25,12
"861",2016,1,26,11
"862",2016,1,27,6
"863",2016,1,28,5
"864",2016,1,29,8
"865",2016,1,30,76
"866",2016,1,31,18
"867",2016,2,1,10
"868",2016,2,2,7
"869",2016,2,3,2
"870",2016,2,4,9
"871",2016,2,5,11
"872",2016,2,6,79
"873",2016,2,7,30
"874",2016,2,8,9
"875",2016,2,10,1
"876",2016,2,11,2
"877",2016,2,12,3
"878",2016,2,13,4
"879",2016,2,14,1
"880",2016,2,15,4
"881",2016,2,16,1
"882",2016,2,17,8
"883",2016,2,18,7
"884",2016,2,19,48
"885",2016,2,20,266
"886",2016,2,21,20
"887",2016,2,22,22
"888",2016,2,23,9
"889",2016,2,25,2
"890",2016,2,26,14
"891",2016,2,27,109
"892",2016,2,28,115
"893",2016,2,29,23
"894",2016,3,2,4
"895",2016,3,3,4
"896",2016,3,4,16
"897",2016,3,5,10
"898",2016,3,6,94
"899",2016,3,7,58
"900",2016,3,8,109
"901",2016,3,9,40
"902",2016,3,10,12
"903",2016,3,11,78
"904",2016,3,12,94
"905",2016,3,13,1
"906",2016,3,14,79
"907",2016,3,15,39
"908",2016,3,16,64
"909",2016,3,17,93
"910",2016,3,18,61
"911",2016,3,19,97
"912",2016,3,20,69
"913",2016,3,21,67
"914",2016,3,22,100
"915",2016,3,23,24
"916",2016,3,24,3
"917",2016,3,25,67
"918",2016,3,26,101
"919",2016,3,27,137
"920",2016,3,28,44
"921",2016,3,29,137
"922",2016,3,30,75
"923",2016,3,31,81
"924",2016,4,1,35
"925",2016,4,2,25
"926",2016,4,3,188
"927",2016,4,4,6
"928",2016,4,5,38
"929",2016,4,6,5
"930",2016,4,7,11
"931",2016,4,8,11
"932",2016,4,9,47
"933",2016,4,10,15
"934",2016,4,11,51
"935",2016,4,12,30
"936",2016,4,13,48
"937",2016,4,14,62
"938",2016,4,15,151
"939",2016,4,16,480
"940",2016,4,17,475
"941",2016,4,18,228
"942",2016,4,19,33
"943",2016,4,20,57
"944",2016,4,21,87
"945",2016,4,22,41
"946",2016,4,23,288
"947",2016,4,24,421
"948",2016,4,25,186
"949",2016,4,26,24
"950",2016,4,27,10
"951",2016,4,28,38
"952",2016,4,29,75
"953",2016,4,30,10
"954",2016,5,1,56
"955",2016,5,2,110
"956",2016,5,3,123
"957",2016,5,4,24
"958",2016,5,5,85
"959",2016,5,6,332
"960",2016,5,7,144
"961",2016,5,8,263
"962",2016,5,9,62
"963",2016,5,10,35
"964",2016,5,11,80
"965",2016,5,12,129
"966",2016,5,13,202
"967",2016,5,14,95
"968",2016,5,15,158
"969",2016,5,16,176
"970",2016,5,17,55
"971",2016,5,18,119
"972",2016,5,19,186
"973",2016,5,20,189
"974",2016,5,21,411
"975",2016,5,22,228
"976",2016,5,23,299
"977",2016,5,24,215
"978",2016,5,25,91
"979",2016,5,26,252
"980",2016,5,27,151
"981",2016,5,28,486
"982",2016,5,29,666
"983",2016,5,30,415
"984",2016,5,31,149
"985",2016,6,1,143
"986",2016,6,2,213
"987",2016,6,3,249
"988",2016,6,4,233
"989",2016,6,5,384
"990",2016,6,6,177
"991",2016,6,7,131
"992",2016,6,8,153
"993",2016,6,9,102
"994",2016,6,10,337
"995",2016,6,11,361
"996",2016,6,12,277
"997",2016,6,13,107
"998",2016,6,14,82
"999",2016,6,15,194
"1000",2016,6,16,139
"1001",2016,6,17,419
"1002",2016,6,18,511
"1003",2016,6,19,334
"1004",2016,6,20,106
"1005",2016,6,21,252
"1006",2016,6,22,87
"1007",2016,6,23,255
"1008",2016,6,24,233
"1009",2016,6,25,441
"1010",2016,6,26,79
"1011",2016,6,27,139
"1012",2016,6,28,224
"1013",2016,6,29,276
"1014",2016,6,30,173
"1015",2016,7,1,271
"1016",2016,7,2,323
"1017",2016,7,3,558
"1018",2016,7,4,398
"1019",2016,7,5,324
"1020",2016,7,6,288
"1021",2016,7,7,244
"1022",2016,7,8,377
"1023",2016,7,9,686
"1024",2016,7,10,517
"1025",2016,7,11,304
"1026",2016,7,12,167
"1027",2016,7,13,185
"1028",2016,7,14,223
"1029",2016,7,15,222
"1030",2016,7,16,585
"1031",2016,7,17,439
"1032",2016,7,18,260
"1033",2016,7,19,321
"1034",2016,7,20,217
"1035",2016,7,21,235
"1036",2016,7,22,306
"1037",2016,7,23,296
"1038",2016,7,24,275
"1039",2016,7,25,268
"1040",2016,7,26,267
"1041",2016,7,27,277
"1042",2016,7,28,229
"1043",2016,7,29,195
"1044",2016,7,30,443
"1045",2016,7,31,465
"1046",2016,8,1,429
"1047",2016,8,2,208
