"","year","month","day","n"
"642",2015,6,18,151
"643",2015,6,19,225
"644",2015,6,20,477
"645",2015,6,21,560
"646",2015,6,22,136
"647",2015,6,23,282
"648",2015,6,24,218
"649",2015,6,25,174
"650",2015,6,26,120
"651",2015,6,27,614
"652",2015,6,28,537
"653",2015,6,29,280
"654",2015,6,30,252
"655",2015,7,1,254
"656",2015,7,2,322
"657",2015,7,3,602
"658",2015,7,4,11
"659",2015,7,5,96
"660",2015,7,6,210
"661",2015,7,7,177
"662",2015,7,8,261
"663",2015,7,9,374
"664",2015,7,10,496
"665",2015,7,11,647
"666",2015,7,12,519
"667",2015,7,13,193
"668",2015,7,14,259
"669",2015,7,15,242
"670",2015,7,16,112
"671",2015,7,17,268
"672",2015,7,18,549
"673",2015,7,19,598
"674",2015,7,20,284
"675",2015,7,21,264
"676",2015,7,22,295
"677",2015,7,23,259
"678",2015,7,24,344
"679",2015,7,25,561
"680",2015,7,26,427
"681",2015,7,27,283
"682",2015,7,28,259
"683",2015,7,29,300
"684",2015,7,30,414
"685",2015,7,31,403
"686",2015,8,1,635
"687",2015,8,2,401
"688",2015,8,3,267
"689",2015,8,4,319
"690",2015,8,5,312
"691",2015,8,6,337
"692",2015,8,7,365
"693",2015,8,8,422
"694",2015,8,9,330
"695",2015,8,10,273
"696",2015,8,11,227
"697",2015,8,12,264
"698",2015,8,13,235
"699",2015,8,14,302
"700",2015,8,15,439
"701",2015,8,16,382
"702",2015,8,17,225
"703",2015,8,18,134
"704",2015,8,19,169
"705",2015,8,20,261
"706",2015,8,21,229
"707",2015,8,22,427
"708",2015,8,23,355
"709",2015,8,24,240
"710",2015,8,25,159
"711",2015,8,26,108
"712",2015,8,27,117
"713",2015,8,28,244
"714",2015,8,29,131
"715",2015,8,30,10
"716",2015,8,31,191
"717",2015,9,1,146
"718",2015,9,2,127
"719",2015,9,3,155
"720",2015,9,4,209
"721",2015,9,5,414
"722",2015,9,6,455
"723",2015,9,7,395
"724",2015,9,8,65
"725",2015,9,9,136
"726",2015,9,10,96
"727",2015,9,11,67
"728",2015,9,12,240
"729",2015,9,13,290
"730",2015,9,14,167
"731",2015,9,15,204
"732",2015,9,16,209
"733",2015,9,17,160
"734",2015,9,18,141
"735",2015,9,19,465
"736",2015,9,20,304
"737",2015,9,21,194
"738",2015,9,22,94
"739",2015,9,23,164
"740",2015,9,24,115
"741",2015,9,25,212
"742",2015,9,26,471
"743",2015,9,27,278
"744",2015,9,28,150
"745",2015,9,29,52
"746",2015,9,30,72
"747",2015,10,1,80
"748",2015,10,2,57
"749",2015,10,3,55
"750",2015,10,4,102
"751",2015,10,5,83
"752",2015,10,6,106
"753",2015,10,7,111
"754",2015,10,8,121
"755",2015,10,9,130
"756",2015,10,10,317
"757",2015,10,11,307
"758",2015,10,12,202
"759",2015,10,13,76
"760",2015,10,14,111
"761",2015,10,15,76
"762",2015,10,16,112
"763",2015,10,17,136
"764",2015,10,18,173
"765",2015,10,19,76
"766",2015,10,20,69
"767",2015,10,21,102
"768",2015,10,22,74
"769",2015,10,23,48
"770",2015,10,24,109
"771",2015,10,25,224
